company,industry,csa_score,esg_score,score_under_review,last_updated,search_term,url,scraped_at
Public Joint Stock Company Gazprom,OGX Oil & Gas Upstream & Integrated,,,,,Gazprom,https://www.spglobal.com/sustainable1/en/scores/results?cid=4157223,2025-12-04T19:33:19.985053
General Dynamics Corporation,ARO Aerospace & Defense,28,35,NO,"September 25, 2025",General Dynamics,https://www.spglobal.com/sustainable1/en/scores/results?cid=4040505,2025-12-04T19:33:35.652337
General Electric Company,ARO Aerospace & Defense,37,43,NO,"September 02, 2025",General Electric,https://www.spglobal.com/sustainable1/en/scores/results?cid=114527,2025-12-04T19:33:46.848445
General Motors Company,AUT Automobiles,44,47,NO,"August 27, 2025",General Motors,https://www.spglobal.com/sustainable1/en/scores/results?cid=4272273,2025-12-04T19:34:03.938455
Glencore plc,MNX Metals & Mining,19,19,NO,"October 07, 2025",Glencore,https://www.spglobal.com/sustainable1/en/scores/results?cid=4113732,2025-12-04T19:34:14.852050
"The Goldman Sachs Group, Inc.",FBN Diversified Financial Services and Capital Markets,34,39,NO,"October 28, 2024",Goldman Sachs Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4039450,2025-12-04T19:34:25.912083
GSK plc,DRG Pharmaceuticals,76,76,NO,"May 01, 2025",GSK,https://www.spglobal.com/sustainable1/en/scores/results?cid=4806213,2025-12-04T19:35:03.837385
"Guangxi Investment Group Co.,Ltd",FBN Diversified Financial Services and Capital Markets,,,,,Guangxi Investment Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4494757,2025-12-04T19:35:15.913739
"Haier Smart Home Co., Ltd.",DHP Household Durables,37,42,NO,"February 03, 2025",Haier Smart Home,https://www.spglobal.com/sustainable1/en/scores/results?cid=4682417,2025-12-04T19:35:53.276676
"Hanwha Aerospace Co., Ltd.",ARO Aerospace & Defense,40,48,NO,"October 18, 2024",Hanwha,https://www.spglobal.com/sustainable1/en/scores/results?cid=4987560,2025-12-04T19:36:11.335158
"HD Hyundai Co., Ltd.",OGR Oil & Gas Refining & Marketing,31,35,NO,"October 06, 2025",HD Hyundai,https://www.spglobal.com/sustainable1/en/scores/results?cid=5989190,2025-12-04T19:36:40.787002
HF Sinclair Corporation,OGR Oil & Gas Refining & Marketing,34,39,NO,"November 26, 2025",HF Sinclair,https://www.spglobal.com/sustainable1/en/scores/results?cid=4010647,2025-12-04T19:37:02.546069
Hitachi Capital Corporation,FBN Diversified Financial Services and Capital Markets,,,,,Hitachi,https://www.spglobal.com/sustainable1/en/scores/results?cid=4090684,2025-12-04T19:37:13.837210
"The Home Depot, Inc.",RTS Retailing,34,39,NO,"October 30, 2025",Home Depot,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004135,2025-12-04T19:37:29.349156
"Hon Hai Precision Industry Co., Ltd.","ITC Electronic Equipment, Instruments & Components",76,76,NO,"November 28, 2025",Hon Hai Precision Industry,https://www.spglobal.com/sustainable1/en/scores/results?cid=4406620,2025-12-04T19:37:40.450475
Honeywell International Inc.,IDD Industrial Conglomerates,36,39,NO,"November 21, 2025",Honeywell International,https://www.spglobal.com/sustainable1/en/scores/results?cid=4121346,2025-12-04T19:37:51.542037
HP Inc.,THQ Computers & Peripherals and Office Electronics,76,77,NO,"February 10, 2025",HP,https://www.spglobal.com/sustainable1/en/scores/results?cid=105223,2025-12-04T19:38:02.787878
HSBC Holdings plc,BNK Banks,56,58,NO,"March 04, 2025",HSBC Holdings,https://www.spglobal.com/sustainable1/en/scores/results?cid=113876,2025-12-04T19:38:18.405830
Humana AB (publ),HEA Health Care Providers & Services,32,36,NO,"September 26, 2025",Humana,https://www.spglobal.com/sustainable1/en/scores/results?cid=4811329,2025-12-04T19:38:36.483488
"Hyundai Mobis Co.,Ltd",ATX Auto Components,74,74,NO,"November 17, 2025",Hyundai Mobis,https://www.spglobal.com/sustainable1/en/scores/results?cid=4554407,2025-12-04T19:38:58.515679
Hyundai Motor Company,AUT Automobiles,70,70,NO,"October 02, 2025",Hyundai Motor,https://www.spglobal.com/sustainable1/en/scores/results?cid=4045329,2025-12-04T19:39:09.771500
Iberdrola Australia Limited,ELC Electric Utilities,,,,,Iberdrola,https://www.spglobal.com/sustainable1/en/scores/results?cid=4143123,2025-12-04T19:39:25.294745
