company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
Dongwon Enterprise,PT_00574,NaN,0.5,0.0,0.0,1.5,743,657,722,665,East Asia & Pacific,"Korea, Rep.",Food and agriculture,Food production,2023
J.D. Heiskell & Company,PT_00942,IL0002810146,0.9,0.0,1.6,0.0,723,657,675,700,North America,United States,Food and agriculture,Food production,2023
Cooperatie Coforta,PT_00476,NaN,0.9,0.0,1.6,0.0,723,657,675,700,Europe & Central Asia,Netherlands,Food and agriculture,Agricultural products,2023
Newrest,PT_02165,CNE100000502,2.9,0.0,2.6,4.5,690,657,645,630,Europe & Central Asia,France,Food and agriculture,Food retailers,2023
Flour Mills of Nigeria,PT_00696,NGFLOURMILL0,2.9,0.0,1.6,5.9,690,657,675,606,Sub-Saharan Africa,Nigeria,Food and agriculture,Food production,2023
CREC,PT_02191,CNE100000502,1.8,0.0,3.4,0.0,713,657,623,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
SLJ Gloal,PT_02217,CNE100000502,3.3,10.0,2.3,2.2,677,612,661,655,East Asia & Pacific,Indonesia,Paper and forest,Paper and forest,2023
SSA Marine,PT_02237,CNE100000502,3.1,0.0,1.7,6.6,684,657,670,602,North America,United States,Freight and logistics,Freight and logistics,2024
Tsingshan Holding Group,PT_01823,NaN,0.9,0.0,1.6,0.0,723,657,675,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
De Heus,PT_00529,NaN,0.8,0.0,0.6,1.5,739,657,716,665,Europe & Central Asia,Netherlands,Food and agriculture,Agricultural products,2023
Marubeni-Itochu Steel,PT_01130,NaN,0.9,0.0,1.6,0.0,723,657,675,700,East Asia & Pacific,Japan,Metals and mining,Metals and mining,2022
Beijing Construction Engineering Group (BCEG),PT_02189,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
China West Construction Group,PT_00409,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction materials and supplies,Construction materials and supplies,2022
People's Food,PT_01382,AU000000NUF3,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Guangdong Haid Group,PT_00800,CNE100000HP8,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Food and agriculture,Food production,2023
Jiangsu Zhongnan Construction Group,PT_02122,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Cutrale,PT_00412,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Latin America & Caribbean,Brazil,Food and agriculture,Food production,2023
Kangde Xin Composite Material Group ,PT_00989,CNE100000RN2,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Containers and packaging,Containers and packaging,2022
JK Holdings,PT_00969,JP3389570007,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Japan,Construction materials and supplies,Construction materials and supplies,2022
Shandong Iron & Steel Group,PT_01572,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
JiuQuan Iron and Steel Group,PT_00968,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
National Agricultural Cooperative Federation,PT_01289,JP3718800000,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,"Korea, Rep.",Food and agriculture,Agricultural products,2023
China Pacific Construction Group,PT_00387,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Aurora Alimentos,PT_00161,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Latin America & Caribbean,Brazil,Food and agriculture,Food production,2023
Souyute Group,PT_01643,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Apparel and footwear,Apparel and footwear,2022
OUG,PT_01356,AU000000NUF3,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Amer International Group,PT_00083,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Shapoorji Pallonji & Co,PT_02198,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,South Asia,India,Construction and engineering,Construction and engineering,2022
Taiyuan Iron & Steel,PT_01723,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Beijing Urban Construction Group (BUCG),PT_02190,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Construction and engineering,Construction and engineering,2022
Vietnam Rubber Group,PT_02227,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,Vietnam,Tyres and rubber,Tyres and rubber,2022
